Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
IPGP,67.5,2985261824,31
IQV,239.63,43684548608,8
IR,91.01,36721078272,23
IRM,108.3,31768289280,19
ISRG,478.98,170207461376,4
IT,482.7,37196623872,4
ITW,241.94,71831986176,8
IVZ,16.86,7587539968,127
J,146.91,18253275136,14
JBHT,170.36,17374504960,12
JCI,69.38,46346809344,31
JKHY,165.07,12033603584,13
JNJ,159.39,383689981952,13
JNPR,38.86,12791274496,55
JPM,213.97,608778846208,10
K,80.29,27615506432,26
KEY,16.39,15211820032,131
KEYS,135.3,23615127552,15
KHC,34.62,41858351104,62
KIM,22.29,15025956864,96
KLAC,819.57,110170693632,2
KMB,142.46,47981101056,15
KMI,21.08,46786220032,102
KMX,79.86,12464470016,26
KO,69.18,298156818432,31
KR,53.19,38392061952,40
KSS,20.45,2274162688,105
L,78.97,17334468608,27
LB,35.83,2621021952,60
LDOS,148.02,19940366336,14
LEG,12.31,1651583488,175
LEN,171.76,46766292992,12
LH,227.5,19101648896,9
LHX,228.5,43347591168,9
LIN,456.82,218132922368,4
LKQ,40.29,10606584832,53
LLY,922.12,830300815360,2
LMT,560.13,133511471104,3
LNC,31.35,5335675904,68
LNT,57.37,14715404288,37
LOW,241.15,137415712768,8
LRCX,871.14,113576624128,2
LUV,26.33,15775803392,81
LVS,40.37,29729759232,53
LW,60.93,8753874944,35
LYB,97.07,31556388864,22
LYV,95.18,22092611584,22
MA,468.88,433167761408,4
MAA,152.84,18336215040,14
MAR,220.56,62092713984,9
MAS,76.07,16602201088,28
MCD,278.49,199772831744,7
MCHP,80.85,43376427008,26
MCK,547.71,71025393664,3
MCO,466.72,84982243328,4
MDLZ,70.12,93666304000,30
MDT,84.6,108507955200,25
MET,73.05,51158740992,29
MGM,38.9,11816652800,55
MHK,146.42,9241606144,14
MKC,77.18,20729778176,27
MKTX,234.0,8833968128,9
MLM,534.93,32693368832,4
MMC,221.91,109125574656,9
MMM,127.05,69795422208,16
MNST,46.74,45780897792,46
MO,51.32,87563214848,41
MOS,27.72,8832645120,77
MPC,180.03,60253159424,11
MRK,113.67,288131874816,18
MRO,28.16,15752224768,76
MS,101.44,164115726336,21
MSCI,561.66,44146642944,3
MSFT,418.47,3110504235008,5
MSI,421.37,70301786112,5
MTB,163.09,27236190208,13
MTD,1417.58,30079911936,1
MU,107.99,119743619072,19
NCLH,16.09,7074628608,133
NDAQ,69.83,40134094848,30
NEE,78.57,161488846848,27
NEM,50.21,57612460032,42
NFLX,674.07,289287241728,3
NI,31.9,14307469312,67
NKE,83.23,124791734272,25
NOC,506.66,74096484352,4
NOV,17.94,7063104000,120
NOW,827.56,170359013376,2
NRG,82.78,17084136448,26
NSC,240.44,54362521600,8
NTAP,130.5,26826231808,16
NTRS,87.2,17582833664,24
NUE,145.23,34468597760,14
NVDA,124.58,3064456282112,17
NVR,8668.93,26679410688,0
NWL,7.33,3049280000,294
NWS,28.45,15774074880,75
NWSA,27.4,15774069760,78
O,60.05,52295622656,35
ODFL,200.17,42895826944,10
OKE,87.46,51083108352,24
OMC,96.58,18895779840,22
ORCL,137.47,378848083968,15
ORLY,1119.52,64938541056,1
OTIS,92.12,36899127296,23
OXY,57.61,52782108672,37
PAYC,160.0,9189183488,13
PAYX,125.2,45087899648,17
PCAR,95.17,49890209792,22
PEG,80.6,40151855104,26
PEP,172.62,237105659904,12
PFE,28.3,160367591424,76
PFG,77.54,17957023744,27
PG,167.89,395221467136,12
PGR,235.88,138178510848,9
PH,583.4,74990821376,3
PHM,122.59,25440366592,17
PKG,196.6,17656999936,10
PLD,122.85,113748164608,17
PM,118.06,183559684096,18
PNC,173.0,68766810112,12
PNR,84.52,13987890176,25
PNW,86.45,9821757440,24
PPG,122.4,28555919360,17
PPL,31.17,22996383744,69
PRGO,27.68,3775967488,77
PRU,114.89,41015730176,18
PSA,319.41,55902498816,6
PSX,138.92,58147602432,15
PVH,99.56,5561202176,21
PWR,265.89,39173574656,8
PYPL,67.96,69477548032,31
QCOM,172.18,191808503808,12
QRVO,111.18,10546678784,19
RCL,157.8,40620875776,13
REG,69.77,12739722240,30
REGN,1179.31,130001248256,1
RF,21.5,19675187200,100
RHI,61.31,6379673600,35
RJF,115.95,23879090176,18
RL,163.28,10113465344,13
RMD,227.75,33463762944,9
ROK,262.69,29806647296,8
ROL,48.18,23334248448,44
ROP,548.5,58798653440,3
ROST,147.4,49168953344,14
RSG,203.27,63840604160,10
RTX,117.95,156901801984,18
SBAC,218.17,23447166976,9
SBUX,94.81,107438686208,22
SCHW,65.55,119913242624,32
SEE,33.15,4829060096,65
SHW,354.4,89400229888,6
SJM,118.81,12645304320,18
SLB,44.78,63580434432,48
SLG,63.67,4146196736,33
SNA,276.19,14550434816,7
SNPS,549.0,84115587072,3
SO,87.36,95621636096,24
SPG,156.7,58744791040,13
SPGI,490.87,153642303488,4
SRE,79.99,50645344256,26
STE,232.34,22912604160,9
STT,81.18,24241971200,26
STX,101.73,21383139328,21
STZ,245.7,44777349120,8
SWK,97.32,14983290880,22
SWKS,107.32,17140720640,20
SYF,46.62,18425483264,46
SYK,337.89,128761438208,6
SYY,76.57,37653909504,28
T,19.34,138672439296,111
TAP,53.63,11122486272,40
TDG,1280.08,71827079168,1
TDY,416.58,19489361920,5
TEL,149.43,45414617088,14
TFC,42.53,56953622528,50
TFX,239.25,11272861696,9
TGT,144.04,66638229504,14
TJX,111.45,125955219456,19
TMO,603.98,230717931520,3
TMUS,196.56,229342281728,10
TPR,40.4,9300928512,53
TROW,108.78,24214210560,19
TRV,216.57,49363021824,9
TSCO,263.48,28421324800,8
TSN,62.52,22246492160,34
TT,341.3,77021167616,6
TTWO,149.94,26281934848,14
TXN,200.53,183093116928,10
TXT,87.94,16476703744,24
TYL,584.17,24928110592,3
UA,7.72,3398560000,279
UAA,8.0,3398560000,269
UAL,42.07,13834045440,51
UDR,41.71,15671447552,51
UHS,226.44,15106537472,9
ULTA,377.23,18000058368,5
UNH,577.68,533440102400,3
UNM,55.03,10223087616,39
UNP,244.53,148967194624,8
UPS,129.65,111055331328,16
URI,714.47,47252115456,3
USB,43.19,67398422528,49
V,267.38,520289419264,8
VFC,16.88,6569409024,127
VLO,149.82,47999332352,14
VMC,244.43,32279425024,8
VNO,32.01,6647388160,67
VRSK,266.63,37974511616,8
VRSN,179.86,17554335744,11
VRTX,477.37,123210153984,4
VTR,58.42,24136454144,36
VZ,40.61,170948608000,53
WAB,159.31,27908405248,13
WAT,339.98,20181860352,6
WBA,10.92,9426963456,197
WDC,64.05,20913926144,33
WEC,89.53,28298553344,24
WELL,115.92,70612434944,18
WFC,55.33,188330606592,38
WHR,96.71,5308837376,22
WM,205.4,82430099456,10
WMB,44.13,53791383552,48
WMT,73.45,590797996032,29
WRB,57.56,21904517120,37
WRK,51.51,13303641088,41
WST,300.41,21792223232,7
WU,11.79,3982414592,182
WY,29.91,21753991168,72
WYNN,76.29,8467579904,28
XEL,59.98,33438908416,35
XOM,118.17,525009190912,18
XRAY,25.51,5171234304,84
XRX,10.25,1274402944,210
XYL,132.8,32256190464,16
YUM,137.4,38632067072,15
ZBH,110.65,22534094848,19
ZBRA,344.14,17750880256,6
ZION,46.59,6881202688,46
ZTS,183.71,83230007296,11
